Date Published,Event,Frequency,Headline Text,Location,News Sentiment,News Source,Number,Organization,Other,Person,Sector,Sentiment Magnitude,Source,Sub-Sector,Summary,Super Region,URL
2021-03-02, ,DAILY,What to watch today: Stocks to start new month higher after ..., ,-0.2,CNBC, ,Comcast;Exxon;board,Stocks;moves;pressure,Mike Angelakis;chairman;CEO;CFO;Atairos;sources,NEWS AI SENTIMENTS,0.6,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,MIKE ANGELAKIS CHAIRMAN AND CEO OF ATAIROS AND FORMER CFO OF COMCAST IS ALSO JOINING THE BOARD SOURCES SAID. THE MOVES COME AS EXXON HAS FACED PRESSURE ...,GLOBAL DATA,https://www.cnbc.com/2021/03/01/what-to-watch-stocks-to-start-march-higher-after-late-february-selloff.html
2021-03-02, ,DAILY,Exxon Mobil puts climate-conscious activist investor on its ...,Irving,0.2,THE DALLAS MORNING NEWS,13;2016;seven,Exxon Mobil;Exxon;Bloomberg News,activist investor;additions;board;number,directors,NEWS AI SENTIMENTS,0.6,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,THE ADDITIONS BRING THE NUMBER OF DIRECTORS ON THE BOARD TO 13 WITH SEVEN JOINING SINCE 2016 IRVING-BASED EXXON SAID IN A STATEMENT. BLOOMBERG NEWS FIRST ...,GLOBAL DATA,https://www.dallasnews.com/business/energy/2021/03/01/exxon-mobil-puts-climate-conscious-activist-investor-on-its-board-of-directors/
2021-03-02, ,DAILY,Exxon appoints climate-conscious hedge fund mogul Ubben ..., ,-0.1,THE DETROIT NEWS, ,Exxon;Exxon Mobil Corp.;board;Comcast Corp.,hedge fund;investor criticism;oil,Ubben;Jeff Ubben;activist investor;Michael Angelakis;executive,NEWS AI SENTIMENTS,0.5,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXON MOBIL CORP. APPOINTED ACTIVIST INVESTOR JEFF UBBEN AND FORMER COMCAST CORP. EXECUTIVE MICHAEL ANGELAKIS TO ITS BOARD FOLLOWING INVESTOR CRITICISM OF THE OIL ...,GLOBAL DATA,https://www.detroitnews.com/story/business/2021/03/01/exxon-appoints-climate-conscious-hedge-fund-mogul-ubben-board/6868517002/
2021-03-02, ,DAILY,Exxon shares jump as activist investor Jeff Ubben joins the ..., ,0.0,CNBC, ,Exxon;oil giant;board;Comcast,shares,Jeff Ubben;activist investor;Mike Angelakis;chairman;chief executive officer;Atairos;CFO,NEWS AI SENTIMENTS,0.0,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,MIKE ANGELAKIS CHAIRMAN AND CHIEF EXECUTIVE OFFICER OF ATAIROS AND FORMER CFO OF COMCAST IS ALSO JOINING THE OIL GIANT'S BOARD.,GLOBAL DATA,https://www.cnbc.com/2021/03/01/activist-investor-jeff-ubben-to-join-exxon-mobils-board-sources-say.html
2021-03-02,shareholder revolt,DAILY,Exxon aims to quell shareholder revolt by adding activists to ..., ,0.0,CNN, ,Exxon;companies,addition;history,activists;Darren Woods;CEO;Ubben;Angelakis,NEWS AI SENTIMENTS,0.6,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,IN A STATEMENT EXXON CEO DARREN WOODS WELCOMED THE ADDITION OF UBBEN AND ANGELAKIS AND NOTED THEIR HISTORY IN HELPING COMPANIES NAVIGATE COMPLEX ...,GLOBAL DATA,https://www.cnn.com/2021/03/01/investing/exxon-stock-ubben/index.html
2021-02-27,fight;shooting,DAILY,Shooting at Pompano Beach Exxon leaves 1 dead 2 hurt: Cops,Exxon;Pompano Beach;Cape Coral;gas station,-0.6,THE MIAMI HERALD,20;1;2,South Florida,hurt,woman,NEWS AI SENTIMENTS,0.6,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,A 20-YEAR-OLD WOMAN VISITING SOUTH FLORIDA FROM CAPE CORAL WAS KILLED AFTER A FIGHT INSIDE A CAR LED TO A SHOOTING AT A POMPANO BEACH EXXON GAS STATION THE ...,GLOBAL DATA,https://www.miamiherald.com/news/local/crime/article249543853.html
2021-02-26, ,DAILY,Exxon's Massive Earth-Shattering Reserve Decline Is A Non ...,Earth;fossil fuel resource base,-0.4,FORBES, ,Exxon,peak oil demand;sign;Massive;much;assets;Reserve Decline;value,Non;Believers,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,BELIEVERS IN PEAK OIL DEMAND WILL ARGUE THAT IT IS A SIGN THAT MUCH OF THE FOSSIL FUEL RESOURCE BASE WILL BE 'STRANDED ASSETS' THAT IS OF NO ECONOMIC VALUE DUE TO ...,GLOBAL DATA,https://www.forbes.com/sites/michaellynch/2021/02/25/exxons-massive-earth-shattering-reserve-decline-is-a-non-event/
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,THE WASHINGTON POST,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.washingtonpost.com/business/exxonmobil-selling-some-assets-for-more-than-1b/2021/02/24/0b902e7a-76a3-11eb-9489-8f7dacd51e75_story.html
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,WASHINGTON TIMES,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.washingtontimes.com/news/2021/feb/24/exxonmobil-selling-some-assets-for-more-than-1b/
2021-02-25,drilling,DAILY,ExxonMobil sells some North Sea drilling exploration sites,North Sea;exploration sites;coast;U.K.,0.1,THE SAN DIEGO UNION-TRIBUNE,1 billion,ExxonMobil;Exxon,exploration assets;most;focus, ,NEWS AI SENTIMENTS,0.8,WORLDDATA.AI,NORTH AMERICA NEWS SOURCES,EXXONMOBIL IS SELLING MOST OF ITS DRILLING AND EXPLORATION ASSETS OFF THE COAST OF THE U.K. IN THE NORTH SEA FOR MORE THAN $1 BILLION. EXXON HAS HEIGHTENED ITS FOCUS ...,GLOBAL DATA,https://www.sandiegouniontribune.com/business/nation/story/2021-02-24/exxonmobil-selling-some-assets-for-more-than-1b
