Value,Date,Sub-Sector,Super Region,Sub-Sector Level 2,Sub-Sector Level 3,Time Level,Unit,Source,Sub-Sector Level 4
80.76,2016-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
177.23,2001-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
106.04,2020-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
148.43,2014-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
163.46,2012-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
167.77,2008-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
154.46,1996-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
92.06,2018-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
197.66,1999-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
148.14,2009-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
122.76,2019-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
171.65,2002-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
68.19,2022-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
145.89,1990-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
164.08,1998-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
171.19,1997-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
175.34,2000-02-29,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
108.82,2017-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
148.67,2010-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
192.06,1999-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
182,2006-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
161.84,2010-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
177.33,2005-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
172.4,2007-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
161.21,1990-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
84.51,2022-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
162.58,1992-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
102.15,2015-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
129.14,2017-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
142.42,1991-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
174.02,1994-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
106.37,2021-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
178.95,2004-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
166.87,2001-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
147.66,2011-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
161.88,2014-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
169.91,1995-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
134.97,2013-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
155.01,2003-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
148.99,1993-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
97.25,2021-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
166.47,1996-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
150.45,2009-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,UNITED STATES,CARBON DIOXIDE EMISSIONS FROM COAL,MONTHLY,MILLION METRIC TONS,U.S.ENERGY INFORMATION ADMINISTRATION,NA
